gender,name,origin,meaning
M,Abduljavod,Arabcha,"o‘ta muruvvatli, marhamatlining quli, ya’ni Allohning quli"
M,Abduljami,Arabcha,"Barcha narsadan xabardor va barchani bir joyda to‘plovchining, ya’ni Allohning quli"
M,Abdulkarim,Arabcha,Qar. Abdukarim
M,Abdulla,Arabcha,"Allohning quli, bandasi"
M,Abdulmannon,Arabcha,Qar. Abdumannon
M,Abdulmahmud,Arabcha,"Maqtalgan, madh qilinganning quli. Mahmud-Muhammad payg‘ambarning sifatlaridan biri Qar. Mahmud"
M,Abdulnur,Arabcha,"o‘z-o‘zidan borligi ayon, borliqni ham ayon etuvchining,  ya’ni Allohning quli. Nur (yog‘du, yorug‘lik)-Muhammad paygambarning ham sifatlaridan biri (qar. Nur)"
M,Abdultohir,Arabcha,"Nuqsonsiz, pokning quli. Muhammad (sav)ning  sifatlaridan biri (qar. Tohir)"
M,Abdulfayz,Arabcha,Lutfu karamning quli
M,Abdulfattoh,Arabcha,"Pahmat xazinalarini ochuvchi va unga yo‘l ko‘rsatuvchining, hukm etuvchining, ya’ni Allohning quli"
M,Abdulforix,Arabcha,"Nurli, nurafshonning quli"
M,Abduxabir,Arabcha,"Barcha oshkoro va maxfiy ishlardan xabardorning, ya’ni Allohning quli"
M,Abdulxayr,Arabcha,"Ezgulik va saxovat sohibining, yaxshiliklar qiluvchining quli"
M,Abdulqahhor,Arabcha,Qar. Abduqahhor
M,Abdulqodir,Arabcha,Qar. Abduqodir
M,Abdulqosim,Arabcha,Qar. Abduqosim
M,Abdulquddus,Arabcha,"Huqsonlardan holining, mislsiz muqaddasning, ya’ni Allohning quli"
M,Abdulg‘afur,Arabcha,Qar. Abdug‘afur
M,Abdulg‘iyos,Arabcha,Ko‘mak beruvchining quli
M,Abdulgo‘zi,Arabcha,Din yo‘lida kurashuvchi va g‘olib chiquvchining quli
M,Abdulhay,Arabcha,"Abadiy tirik, barhayotning quli"
M,Abdulhayit,Arabcha,"Aynan: bayram (hayit)ning quli, hayit kuni tug‘ilgan bola"
M,Abdulhakim,Arabcha,Qar. Abduhakim
M,Abdulhamid,Arabcha,Maqtov va olqishlarga sazovorning quli. Bu nom Allohga hamdu sano aytuvchi ma’nosida Muhammad (sav) sifati hamdir
M,Abdulhafiz,Arabcha,"o‘z panohida saqlovchining, ya’ni Allohning quli"
M,Abdulhaq,Arabcha,"Haqiqatda mavjud zot, ya’ni Allohning quli"
M,Abduhodi,Arabcha,"To‘g‘ri yo‘ldan boshlovchining, ya’ni Allohning quli"
M,Abdulhujjat,Arabcha,"Vakil qilinganning, vakolat berilganning quli"
M,Abdumavlon,Arabcha,"Yaratuuvchining, dunyoga keltiruvchining quli"
M,Abdumajid,Arabcha,"Ne’matli va sharafi bepayonnin, yani Allohning quli"
M,Abdumalik,Arabcha,"Podshohning, ya’ni Allohning quli"
M,Abdumamad,Arabcha,Qar. Abdumuhammad
M,Abdumannon,Arabcha,Barcha uchun saxiy va sahovatlining quli
M,Abdumannof,Arabcha,"Aslzoda, oqsuyak zotning quli"
M,Abdumasih,"Arabcha, qadimiy yahudiycha","Aynan: yog‘ (upa) surtilganning quli, ya’ni Iso payg‘ambarning quli. Masih nomi Iso (as)ning laqabi bo‘lgan (qar.Masih)"
M,Abdumetin,Arabcha,"Quvvat, matonatlining, ya’ni Allohning quli"
M,Abdumujib,Arabcha,"Duo va tavbalarning qabul qiluvchining, ya’ni Allohning quli"
M,Abdumulk,Arabcha,"Hukmdorning, podshohning quli"
M,Abdumurod,Arabcha,Murodu maqsadga intiluvchi qul
M,Abdumuso,"Arabcha, qadimiy yahudiycha",Muso (as)ning quli (qar. Muso)
M,Abdumutallib,Arabcha,"Mutallibga sadoqatli, Mutallibga qaramning quli (qar. Mutallib)"
M,Abdumuxtor,Arabcha,"Tanlab, saylab olinganning quli. Muhammad (sav)ning sifatlaridan biri (qar. Muxtor)"
M,Abdumuqtadir,Arabcha,"Kuchli, qudratlining, ya’ni Allohning quli"
M,Abdumuhammad,Arabcha,Muhammad (sav)ning quli (qar. Muhammad)
M,Abdumuhid,Arabcha,"Moddiy va ma’naviy oziq beruvchining, yani Allohning quli"
M,Abdumo‘min,Arabcha,"Omonlik va najot beruvchining, himoya qiluvchining, ya’ni Allohning quli"
M,Abdunabi,Arabcha,"Payg‘ambarning, ya’ni Muhammad (sav)ning quli. Nabi - Muhammad (sav)ning sifatlaridan biri"
M,Abdunazar,Arabcha,"Mehru iltifotlining, ezgulikning quli"
M,Abdunazir,Arabcha,"Azobladan ogohlantiruvchining, ya’ni Muhammad (sav)ning quli. Hazir - Muhammad (sav)ning sifatlaridan biri (qar. Nazir)"
M,Abdunaim,Arabcha,"Omadlining, muvaffaqiyat egasining quli"
M,Abdunasim,Arabcha,Qar. Abdu va Nasim
M,Abdunaqib,Arabcha,"Payg‘ambarlar sardorining, ya’ni Muhammad (sav)ning quli"
M,Abduniyoz,Arabcha,"Allohdan o‘tinib, yolg‘orib olindan qul (bola) yoki tuhfa, sovg‘a qilingan qul"
M,Abdunozir,Arabcha,Qar. Abdunazir
M,Abdunosir,Arabcha,Yordam beruvchining quli. Nosir Muhammad (sav)ning sifatlaridan biri (qar. Nosir)
M,Abdunur,Arabcha,"o‘z-o‘zini va borliqni ayon etib,  ravshan qilib turuvchining, ya’ni Allohning quli. Nur yog‘du, yorug‘lik manosida Muhammad (sav)ning sifatlaridan biri (qar. Nur)"
M,Abdunu’mon,"Arabcha, qadimiy yahudiycha","Ezgulik, mehru muruvvatning quli"
M,Abduomil,Arabcha,"Hukmdorning, mansabdorning, merosxo‘rning quli"
M,Abdurazzoq,Arabcha,"Barchaning nasibasi, rizqu ro‘zini yetkazib beruvchining, ya’ni Allohning quli"
M,Abdurasul,Arabcha,"Allohning elchisi, payg‘ambarning quli. Rasul - Muhammad (sav)ning unvoni, sifatlaridan biri"
M,Abdurauf,Arabcha,"o‘ta mehribon, muruvvati cheksiz, ya’ni Allohning quli"
M,Abdurafi,Arabcha,"Mo‘minlar martabasini ko‘taruvchilarning, ya’ni Allohning quli"
M,Abdurafi’,Arabcha,"Mo‘minlar martabasini ko‘taruvchilarning, ya’ni Allohning quli"
M,Abdurafiq,"Arabcha, fors-tojikcha","Do‘st, o‘rtoqning quli"
M,Abdurashid,Arabcha,"Barcha ish va tadbirlarda to‘g‘ri yo‘l ko‘rsatuvchining, ya’ni Allohning quli"
M,Abduraqib,Arabcha,"Barcha narsani kuzatib, nazorat ostiga olib turuvchining, ya’ni Allohning quli"
M,Abdurahim,Arabcha,"Rahm-shavqatli, kechiruvchining, ya’ni Alllohning quli. Rahim - rahmdil, marhamatli manosida Muhammad (sav)ning ham sifati"
M,Abdurahmat,Arabcha,Mehru shavqatli va muruvvatlining quli
M,Abdurahmon,Arabcha,"o‘ta mehribon, va mehrlining quli, ya’ni Allohning quli"
M,Abdurizo,Arabcha,"Aynan: Imom Rizoning quli yoki Rizo-tanlangan, saylanganning quli (qar. Rizo)"
M,Abduroziq,Arabcha,"Rizqu ro‘z beruvchining, ya’ni Allohning quli"
M,Abdusadr,Arabcha,"Boshliqning, diniy sardorning quli"
M,Abdusaid,Arabcha,"Baxtli, saodatlining quli yoki Allohning baxtli bandasi"
M,Abdusayid,Arabcha,"Yo‘lboshchining, diniy rahbarning, hokimning (bu o‘rnida Alloh ko‘zda tutiladi) quli. Sayid nomi xoja ma’nosida Muhammad (sav)ning sifatlaridan biri"
M,Abdusayfi,Arabcha,"Aynan: qilichning, xanjarning, ya’ni jasur, dovyurakning quli (sol. Sayfuddin)"
M,Abdusalim,Arabcha,"Sog‘lomning, xavfu xatardan yiroqning quli"
M,Abdusalom,Arabcha,"Balo-ofatlardan salomatning yoki balo-qazolardan salomat saqlovchining, ya’ni Allohning quli"
M,Abdusamad,Arabcha,"Hojatbarorning quli, ya’ni Allohning quli"
M,Abdusami,Arabcha,"Barcha narsalardan xabardor, etishuvchi va voqif bo‘luvchining quli, ya’ni Allohning quli"
M,Abdusattor,Arabcha,"Kechiruvchining va himoya qiluvchining, ya’ni Allohninig quli"
M,Abdusiddiq,Arabcha,"Rostgo‘yning, adolatlining quli. Siddiq - Muhammad (sav)ning sifatlaridan bir"
M,Abdusoat,Arabcha,"Omadli, baxtli soatda tug‘ilgan qul (bola)"
M,Abdusobir,Arabcha,"Jazo berishga shoshilmaydigan sabr-toqatli zotning, ya’ni Allohning quli"
M,Abdusolih,Arabcha,Allohning buyrug‘ini ado etib yaxshi ishlar qiluvchining quli. Solih - Muhammad (sav)ning sifatlaridan biri
M,Abdusohat,Arabcha,Qar. Abdusoat
M,Abdusohib,Arabcha,"Hokimning, boshliqning quli. Bu o‘rinda Alloh ko‘zda tutiladi"
M,Abdusunnat,Arabcha,"Allohning yo‘l-yo‘riqlarini ado etuvchi, qul yoki Allohning sunnat qilinganga o‘xshab tug‘ilgan bandasi. Sol: Sunnat, Sunnatulla"
M,Abdutolib,Arabcha,"Tolibning quli (qar. Abutolib, Tolib)"
M,Abdutohir,Arabcha,"Toza, pok, pokizaning quli. Tohir - Muhammad (sav)ning sifatlaridan biri"
M,Abduumar,Arabcha,Xalif Umarning quli (qar. Umar)
M,Abduusmon,Arabcha,Xalif Usmonning quli (qar. Usmon)
M,Abdufadil,Arabcha,o‘ta a’lo va yuksak bo‘lganning quli
M,Abdufayyod,Arabcha,o‘ta sahiy va sahovatlining quli
M,Abdufayz,Arabcha,Nozu ne’matlari mo‘l va sahiyning quli
M,Abdufarmon,Arabcha,Falakdan keluvchi buyruqlarning sodiq ijrochisi (quli). Bu o‘rinda Alloh xohish-irodasi ko‘zda tutiladi
M,Abdufattoh,Arabcha,"Hukm etuvchining yoki rahmat xazinalarini ochuvchi va unga yo‘l ko‘rsatuvchining, ya’ni Allohning quli; doimo g‘olib va muzaffarning quli"
M,Abdufozil,Arabcha,"Barkamol, mukammal va bekamu ko‘stning quli. Fozil - fozlu karomat sohibi ma’nosida Muhammad (sav)ning ham sifatlaridan biri (qar. Fozil)"
M,Abduxabar,Arabcha,"Barcha narsani biluvchi va xabardorning, ya’ni Allohning quli"
M,Abduxayr,Arabcha,"Ezgulik va saxovat sohibining, ya’ni Allohning quli"
M,Abduxalil,Arabcha,Sadoqatli do‘stning quli. Sol: Xalilulla
M,Abduxalloq,Arabcha,"Yaratuvchi, dunyoga keltiruvchining, ya’ni Allohning quli. Sol: Abduxoliq"
M,Abduxannon,Arabcha,Rahmdil va shavqatlining quli
M,Abduxol,Arabcha,Qar. Abduxoliq
M,Abduxolis,Arabcha,"To‘g‘ri, pok, adolatlining quli"
M,Abduxoliq,Arabcha,"Yaratuvchining, dunyoga keltiruvchining, ya’ni Allohning quli"
M,Abduxoris,Arabcha,"Asrovchining, qo‘riqlovchining quli"
M,Abduxorun,Arabcha,Xorunning quli (qar. Xorun)
M,Abdushayx,Arabcha,"Diniy yo‘lboshchi, sardorning quli"
M,Abdushams,Arabcha,"Quyoshning quli, quyoshning maftuni"
M,Abdusharaf,Arabcha,"Shonu shavkatlining, obro‘-e’tiborlining quli"
M,Abdusharif,Arabcha,Ulug‘ va muruvvatlining quli
M,Abdusher,Arabcha,Jasur va qudratlining quli
M,Abdushokir,Arabcha,"Allohga shukrlar aytuvchi, shukur qiluvchi qul, banda"
M,Abdushohid,Arabcha,"Hamma narsani ko‘rib turuvchi va unga guvohning, ya’ni Allohning quli"
M,Abdushukur,Arabcha,"Har kimga o‘z haqini, ulushini ajratib beruvchining quli"
M,Abduyusuf,"Arabcha, qadimiy yahudiycha",Yusuf (as)ning quli (qar. Yusuf)
M,Abduyahyo,"Arabcha, qadimiy yahudiycha",Yahyo (as)ning quli (qar. Yahyo)
M,Abduqayum,Arabcha,"Abadiy mavjud bo‘lib turuvchining quli, ya’ni Allohning quli"
M,Abduqayyum,Arabcha,"Abadiy mavjud bo‘lib turuvchining quli, ya’ni Allohning quli"
M,Abduqahhor,Arabcha,"Barchani bo‘ysinduruvchi g‘olibning, ya’ni Allohning quli"
M,Abduqobil,Arabcha,"Uddaburonning, qobiliyatlining, qudratlining quli"
M,Abduqodir,Arabcha,"Mislsiz kuch-qudrat egasining, ya’ni Allohning quli"
M,Abduqosim,Arabcha,"Rizqu ro‘z taqsimlovchi, nasiba ulashuvchining quli"
M,Abduquddus,Arabcha,"Nuqsonlardan holining, ya’ni Allohning quli"
M,Abduqunduz,Arabcha,Noyob va nodirning quli (qar. Qunduz)
M,Abdug‘ani,Arabcha,"Boy, ehtiyojsiz, ya’ni Allohning quli"
M,Abdug‘afur,Arabcha,"Gunohlarni yashirib, jazo bermay turuvchining, ya’ni Allohning quli"
M,Abdug‘affor,Arabcha,"Aybu nuqsonlarni fosh qilmay yopib turuvchi, kechiruvchining, ya’ni Allohning quli"
M,Abdug‘ozi,Arabcha,"Din yo‘lida kurashuvchining, din himoyachisining quli"
M,Abdug‘oyib,Arabcha,"Yashirganning, pinhonning quli"
M,Abdug‘ulom,Arabcha,"Qulning o‘g‘li, farzandi"
M,Abduhayot,Arabcha,"Hayot oshig‘I, hayotning sodiq xizmatchisi"
M,Abduhakim,Arabcha,"Tengsiz aql va hikmat sohibining, ya’ni Allohning quli"
M,Abduhalim,Arabcha,"Jazolashga shoshmaydigan, yaxshilik qilib turuvchi, ya’ni Allohning quli"
M,Abduhamid,Arabcha,"Hamdu sanoga, maqtovga sazovor zotning, ya’ni Allohning quli"
M,Abduhanif,Arabcha,g‘amxo‘r va mehribonning quli
M,Abduhasan,Arabcha,Imom Hasanning quli (qar. Hasan)
M,Abduhafiz,Arabcha,"o‘z panohida saqlaguvchining, ya’ni Allohning quli"
M,Abduhoshim,Arabcha,"Aynan: non sindiruvchining quli, ya’ni rizqu ro‘z ulashuvchining quli"
M,Abduhusayn,Arabcha,Imom Husaynning quli (qar. Husayn)
M,Abjir,o‘zbekcha,"Chaqqon, mohir, epchil"
M,Abzal,Arabcha,Qar. Afzal
M,Abirali,Arabcha,Qar. Abir va Ali
M,Abirqul,"Arabcha, o‘zbekcha","Yaxshi, yoqimtoy qul"
M,Abobakir,Arabcha,"Aynan: bo‘taloqning otasi yoki hech joyi shikas topmagan, gunohsizning otasi"
M,Abobashir,Arabcha,"Xushxabar keltiruvchining otasi. Sol: Bashir, Bashirulla"
M,Abror,Arabcha,"Pokdomon, solih, taqvodor; yaxshi hulq egasi"
M,Abuali,Arabcha,"Alining otasi, padari buzrukvori (qar. Ali)"
M,Abubakr,Arabcha,"Aynan: bo‘taloqning otasi yoki aybsiz, gunohsizning, rostgo‘yning otasi. Ba’zilar Abubakr ismi Tong otasi deb izohlaydi. Muhammad (sav) bilan birga namoz o‘qigani uchun Bakr shu laqabni olgan. Sol: Bakir, Bakirulla"
M,Abubakir,Arabcha,"Aynan: bo‘taloqning otasi yoki aybsiz, gunohsizning, rostgo‘yning otasi. Ba’zilar Abubakr ismi Tong otasi deb izohlaydi. Muhammad (sav) bilan birga namoz o‘qigani uchun Bakr shu laqabni olgan. Sol: Bakir, Bakirulla"
M,Abuzayd,Arabcha,Zaydning otasi (qar. Zayd)
M,Abuzar,Arabcha,"Aynan: ushoqlar, chumolilarning otasi, ya’ni ko‘pchilikning, jamoaning otasi"
M,Abulabbos,Arabcha,"Abbosning otasi. Qar. Abbos. Bu ism ko‘chma ma’noda arslon, yani kuchli, qudratli manolarini ham anglatadi"
M,Abula’lo,Arabcha,"o‘ta yaxshining, tengsizning otasi"
M,Abulkalom,Arabcha,"Kalomning otasi (qar. Kalom, Kalomulla)"
M,Abulmakorim,Arabcha,"Himmatli, olijanoblining otasi"
M,Abulmalik,Arabcha,"Podshohning, hukmronning otasi"
M,Abulmalih,Arabcha,"Chiroyli, sohibjamolning otasi"
M,Abulmuzaffar,Arabcha,"Yengilmas, g‘olibning otasi"
M,Abulmuhammad,Arabcha,Maqtov va olqishlarga sazovorning otasi
M,Abulmuhsim,Arabcha,"Muruvvatli, saxovatlining otasi"
M,Abulsaid,Arabcha,"Baxtli, saodatmandning otasi"
M,Abulfavoris,Arabcha,"Botir, dovyurakning otasi"
M,Abulfadl,Arabcha,"Juda yaxshi, a’lo darajalining otasi"
M,Abulfazl,Arabcha,"o‘ta yaxshi, a’loning otasi"
M,Abulfayd,Arabcha,"Olijanob, olihimmat, muruvvatlining otasi"
M,Abulfayz,Arabcha,"Olijanob, olihimmat, o‘ta muruvvatlining otasi"
M,Abulfaraj,Arabcha,"Qutqaruvchining, nojatkorning otasi"
M,Abulfattoh,Arabcha,"Yengilmas, g‘olib, doimo muzaffarning otasi"
M,Abulfath,Arabcha,g‘olib va muzaffarning otasi
M,Abulfido,Arabcha,"o‘zini baxshida etuvchining, vafodorning otasi"
M,Abulxayr,Arabcha,"Yaxshilik, ezgulik qiluvchining otasi yoki ezgulikning otasi"
M,Abulxoris,Arabcha,"Mohir, uddaburon, mehnatkashning otasi yoki qo‘riqlovchi, asrovchining otasi. Bu ism qo‘chma ma’noda arslon, yani kuchli, kudratli manosini ham anglatadi"
M,Abulqosim,Arabcha,Qosimning otasi (qar. Qosim).  Abulqosim nomi Muhammad (sav)ning sifatlaridan biri
M,Abulg‘ozi,Arabcha,"Din uchun kurashuvchi va din dushmanlari ustidan g‘olib chiquvchining quli (qar. g‘ozi, g‘oziddin)"
M,Abulhakim,Arabcha,"Dono, donishmandning otasi"
M,Abulhamid,Arabcha,"Allohga hamdu sano aytuvchining otasi yoki olqishga sazovorning, xushfe’lning otasi"
M,Abulhasan,Arabcha,Imom Hasanning otasi (qar. Hasan)
M,Abulhodi,Arabcha,Hodining otasi (qar. Hodi)
M,Abulhoshim,Arabcha,Hoshimning otasi (qar. Hoshim)
M,Abulhusayn,Arabcha,Imom Husaynning otasi (qar. Husayn)
M,Abumansur,Arabcha,"Yengilmas, go‘libning otasi (qar. Mansur)"
M,Abumuzaffar,Arabcha,"Yenguvchi, g‘olib keluvchining, zafar quruvchining otasi"
M,Abumuslim,Arabcha,"Islom diniga e’tiqod qiluvchining, xudojo‘yning otasi"
M,Abumuxtor,Arabcha,"Tanlan, saylab olinganning; suyuklining otasi"
M,Abumuhammad,Arabcha,Muhammad (sav)ning otasi (qar. Muhammad)
M,Abunasim,Arabcha,Nasimning otasi (qar. Nasim)
M,Abunasr,Arabcha,"Ko‘mak beruvchining, g‘olibning otasi"
M,Aburizo,Arabcha,"Rozi va mamnun bo‘lganning yoki tanlangan, saylanganning, suuklining otasi"
M,Abusaid,Arabcha,"Baxtli, saodatlining otasi"
M,Abusaodat,Arabcha,"Baxtli, baxtiyor, tolei balandning otasi"
M,Abusafo,Arabcha,"Pok, ochiqko‘ngil, samimiyning otasi yoki rohat-farog‘atlining, xurramning otasi"
M,Abusobit,Arabcha,"Turg‘un, mustahkam, sabotlining otasi"
M,Abutolib,Arabcha,"Intiluvchi, qidiruvchi, talabkorning otasi"
M,Abuturob,Arabcha,Turobning otasi (qar. Turob)
M,Abushijo,Arabcha,"Qo‘rqmas, jasur, shijoatlining otasi"
M,Abuyusuf,"Arabcha, qadimiy yahudiycha",Yusufning otasi (qar. Yusuf)
M,Abuyazid,Arabcha,Tuhfa qilinganning otasi yoki ulg‘ayib o‘sib-unuvchining otasi
M,Abuhanifa,Arabcha,"Gamxo‘r, mehribonning otasi"
M,Abuhasan,Arabcha,Imom Hasanning otasi (qar. Hasan)
M,Abihafiz,Arabcha,"Asrovchining, muhofazakorning otasi"
M,Abhar,Arabcha,"Bo‘tako‘z, bo‘tako‘zdek gozal, zebo"
M,Avaz,o‘zbekcha,"Oldingi turmagan bolalarning o‘rniga, evaziga kelgan bola. Shakllari: Avazboy, Avazjon, Avazgul, Avazbek"
M,Avazali,"o‘zbekcha, arabcha",Avvalgi turmagan bolalar o‘rniga berilgan va Ali qo‘llovchi bola
M,Avazbadal,"o‘zbekcha, arabcha",Avvalgi turmagan bolalarning badaliga berilgan bola
M,Avazbakir,"o‘zbekcha, arabcha",Qar. Avaz va Bakir
M,Avazberdi,o‘zbekcha,Turmagan farzandlar o‘rniga berilgan bola
M,Avazmamat,"o‘zbekcha, arabcha",Qar. Avazmuhammad
M,Avazmengli,o‘zbekcha,Turmagan farzandlar evaziga kelgan xoldor bola
M,Avazmurod,"o‘zbekcha, arabcha","Marhum farzandlar evaziga kelgan, orzu qilingan bola"
M,Avazmuhammad,"o‘zbekcha, arabcha",Turmagan farzandlar evaziga berilgan va Muhammad (sav) qo‘llovchi bola
M,Avaznafas,"o‘zbekcha, arabcha",Qar. Avaz va Nafas
M,Avazniyoz,"o‘zbekcha, fors-tojikcha","Marhum farzandlar o‘rniga o‘tinib so‘rab olingan boli yoki marhum farzandlar evaziga berilgan tuhfa, ehson"
M,Avazomon,"o‘zbekcha, arabcha",Turmagan farzandlar evaziga kelgan bola sog‘ bo‘lsin ma’nosida
M,Avazsafar,"o‘zbekcha, arabcha",Marhum farzand(lar) evaziga berilgan safar oyida yoki safar vaqtida tug‘ilgan bola
M,Avazsulton,"o‘zbekcha, arabcha",Turmagan farzandlar o‘rniga kelgan bola ulg‘ayib yuksak martabalar egasi bo‘lsin ma’nosida
M,Avazturdi,o‘zbekcha,"Marhum fardzandlar evaziga kelgan bola tursin, yashasin ma’nosida"
M,Avazxon,o‘zbekcha,Turmagan farzand(lar) evaziga kelgan bola ulug‘ martabalar sohibi bo‘lsin ma’nosida
M,Avazqurbon,"o‘zbekcha, arabcha",Turmagan farzand(lar) evaziga berilgan bola va qurbon oyida tug‘ilgan bola
M,Avval,Arabcha,"Allohning sifatlaridan biri bo‘lib, hamma narsadan avval, boshlanishi chegarasiz degan ma’noni bildiradi"
M,Avvaliddin,Arabcha,"Olamning boshlanishi bo‘lgan zotning dini, e’tiqodi, yani Alloh dini"
M,Avvalmomo,"Arabcha, fors-tojikcha",Qar. Avval va Momo
M,Avvalmurod,Arabcha,"Olamning boshlanishi bo‘lmish zot, ya’ni Allohning erishtirgan orzu, maqsad yoki erishilgan ilk orzu"
M,Avliyo,Arabcha,"Aziz, tabarruk, muqaddas yoki e’tiqodli dindor, xudojo‘y"
M,Avliyozoda,"Arabcha, fors-tojikcha","Avliyoning farzandi, tabarruk kishilar nasliga mansub bola (qar. Avliyo)"
M,Avliyoniyoz,"Arabcha, fors-tojikcha","Avliyodan iltijolar qilib so‘rab olingan bola yoki avliyoning ehsoni, tuhfasi"
M,Avliyoqul,"Arabcha, o‘zbekcha","Avliyoga, muqaddas joyga sipinib topilgan bola yoki tabarruk kishilarning sodiq xizmatkori"
M,Adash,o‘zbekcha,"Adashtirilgan, almashtirilgan bola. Chaqaloqni yozuv kuchlardan asrash, ularni chalg‘itish uchun beriladigan ism. Adashning - do‘st, hamdam, o‘rtoq ma’nosi ham bor"
